state,county,permno,ptype,pdate,pdescription,jvalue,jsqfeet,jaddr,jcity,jstate,jzip,jsubdiv,jlotno,aname,aaddr,acity,astate,azip,aphone,atype,aurl,afax,aprimarycontact,aemail,bldcode,units,bldgs,ctype,legal,contractor,caddress,ccity,cstate,czip,cphone,curl,cfax,cprimarycontact,cemail
TX,TRAVIS,20-26160,"Auto Sales & Services",12/16/2020,,550000,,"19035 W SH 71",SPICEWOOD,TX,78669,,,CONTRACTOR,,,,,,,,,,,"INTERFIELD GROUP",,,,,"INTERFIELD GROUP","401 STUDEWOOD ST STE 300",HOUSTON,TX,77007-2733,"(713) 780-0909",http://www.interfield.net/,,"PATRICIA MATA",pmata@interfield.net
TX,TRAVIS,19-25142,"Auto Sales & Services",12/3/2020,,1200000,,"18105 W TX-71",SPICEWOOD,TX,78669,,,CONTRACTOR,,,,,,,,,,,KIMLEY-HORN,,,,,KIMLEY-HORN,"10814 JOLLYVILLE RD",AUSTIN,TX,78759-5674,"(512) 418-1771",http://www.kimley-horn.com,,,
TX,WILLIAMSON,2020-70300,"Auto Sales & Services",1/25/2021,,1500000,4000,"1006 LEANDER RD",GEORGETOWN,TX,78628,,,CONTRACTOR,,,,,,,,,,,"ZEMANEK ARCHITECTURE & DESIGN",,,,,"ZEMANEK ARCHITECTURE & DESIGN","107A E MAIN ST",JENKS,TX,74037,"(918) 606-2090",http://www.zemanekad.com/,,,
TX,TRAVIS,19-23965,"Educational Institution",12/7/2020,,5000000,,"3000 BARTON CREEK BLVD",AUSTIN,TX,78735,,,CONTRACTOR,,,,,,,,,,,"O CONNELL ROBERTSON",,,,,"O CONNELL ROBERTSON","4040 BROADWAY ST STE 200","SAN ANTONIO",TX,78209-6300,"(210) 224-6032",http://www.oconnellrobertson.com/,"(210) 224-6453","RICK BURNIGHT",sanantonioinfo@oconnellrobertson.com
TX,TRAVIS,"2020-108939 BP","Hotel, Motel & Assisted Living",1/27/2021,,15553381,315550,"1201 RED RIVER ST",AUSTIN,TX,78701,"ORIGINAL CITY",1,CONTRACTOR,,,,,,,,,,,"SWINERTON BUILDERS",,,,,"SWINERTON BUILDERS","5707 SOUTHWEST PKWY BLDG 1",AUSTIN,TX,78735-6213,"(512) 327-5599",,,,
TX,TRAVIS,20-26864,"Multi Family Apartments & Condos",12/29/2020,,611576,,"7430 BLUFF SPRINGS RD",AUSTIN,TX,78744,,,CONTRACTOR,,,,,,,,,,,KIMLEY-HORN,,,,,KIMLEY-HORN,"10814 JOLLYVILLE RD",AUSTIN,TX,78759-5674,"(512) 418-1771",http://www.kimley-horn.com,,,
TX,TRAVIS,"2021-012119 BP","Multi Family Apartments & Condos",1/28/2021,,138225,2404,"12205 CORONILLA BND",AUSTIN,TX,78748,"ESTANCIA HILL COUNTRY",6,CONTRACTOR,,,,,,,,,,,"LENNAR HOMES",,,,,"LENNAR HOMES","13620 FM 620 RD 150",AUSTIN,TX,78717,"(512) 506-4000",http://www.lennar.com/,,,
TX,TRAVIS,"2021-012120 BP","Multi Family Apartments & Condos",1/28/2021,,144150,2517,"12212 PERRITOS ST",AUSTIN,TX,78748,"ESTANCIA HILL COUNTRY",6,CONTRACTOR,,,,,,,,,,,"LENNAR HOMES",,,,,"LENNAR HOMES","13620 FM 620 RD 150",AUSTIN,TX,78717,"(512) 506-4000",http://www.lennar.com/,,,
TX,TRAVIS,"2021-012134 BP","Multi Family Apartments & Condos",1/28/2021,,162860,1916,"5410 MULBERRY GROVE LN",AUSTIN,TX,78723,TANNEHILL,,CONTRACTOR,,,,,,,,,,,"RSI COMMUNITIES",,,,,"RSI COMMUNITIES","810 HESTERS CROSSING RD STE 235","ROUND ROCK",TX,78681-7846,"(512) 953-4100",,,,
TX,TRAVIS,"2021-012127 BP","Multi Family Apartments & Condos",1/28/2021,,162860,1916,"5312 MULBERRY GROVE LN",AUSTIN,TX,78723,TANNEHILL,,CONTRACTOR,,,,,,,,,,,"RSI COMMUNITIES",,,,,"RSI COMMUNITIES","810 HESTERS CROSSING RD STE 235","ROUND ROCK",TX,78681-7846,"(512) 953-4100",,,,
